                                    Alls_Well_That_Ends_Well         Anthony_and_Cleopatra                As_You_Like_It      A_Midsummer_Nights_Dream                    Coriolanus                        Hamlet               Henry_IV_Part_I              Henry_IV_Part_II                       Henry_V                 Julius_Caesar                     King_Lear            Loves_Labours_Lost                       Macbeth           Measure_For_Measure        Much_Ado_About_Nothing                       Othello                    Richard_II                   Richard_III              Romeo_and_Juliet          The_Comedy_of_Errors        The_Merchant_of_Venice    The_Merry_Wives_of_Windsor       The_Taming_of_the_Shrew                   The_Tempest              The_Winters_Tale              Titus_Andronicus                 Twelfth_Night
                    Richard_II                      0.739765                      0.760080                      0.670402                      0.704082                      0.696110                      0.787884                      0.827558                      0.801963                      0.881511                      0.636813                      0.729930                      0.705738                      0.818100                      0.699019                      0.598520                      0.685108                      1.000000                      0.800115                      0.741094                      0.572201                      0.834059                      0.623379                      0.632299                      0.814108                      0.762733                      0.731167                      0.622774
                   Richard_III                      0.736577                      0.656531                      0.663816                      0.688730                      0.692377                      0.693097                      0.806891                      0.795652                      0.782332                      0.626893                      0.728197                      0.691179                      0.709000                      0.693701                      0.600841                      0.598879                      0.800115                      1.000000                      0.721491                      0.561999                      0.736085                      0.604601                      0.626377                      0.707328                      0.757776                      0.708683                      0.615134
              Romeo_and_Juliet                      0.701346                      0.637561                      0.650936                      0.683046                      0.657602                      0.655571                      0.767060                      0.742611                      0.725696                      0.607477                      0.689952                      0.665113                      0.677139                      0.678824                      0.595613                      0.586712                      0.741094                      0.721491                      1.000000                      0.552621                      0.709114                      0.591456                      0.625424                      0.688625                      0.726831                      0.687580                      0.609232
          The_Comedy_of_Errors                      0.553284                      0.502378                      0.514454                      0.526480                      0.526854                      0.518067                      0.595704                      0.585940                      0.568751                      0.480031                      0.542454                      0.515335                      0.526900                      0.540068                      0.463228                      0.463671                      0.572201                      0.561999                      0.552621                      1.000000                      0.566841                      0.622403                      0.492221                      0.540072                      0.572130                      0.529141                      0.491449
        The_Merchant_of_Venice                      0.722993                      0.745700                      0.668917                      0.687263                      0.692485                      0.761923                      0.784518                      0.772974                      0.837697                      0.627464                      0.703850                      0.689623                      0.782883                      0.696505                      0.602509                      0.676532                      0.834059                      0.736085                      0.709114                      0.566841                      1.000000                      0.636946                      0.628333                      0.788488                      0.750586                      0.684469                      0.622226
    The_Merry_Wives_of_Windsor                      0.610103                      0.561735                      0.566503                      0.574772                      0.579503                      0.580844                      0.649151                      0.666844                      0.640100                      0.525191                      0.587490                      0.565965                      0.588341                      0.589928                      0.517326                      0.522250                      0.623379                      0.604601                      0.591456                      0.622403                      0.636946                      1.000000                      0.548676                      0.593511                      0.626319                      0.564592                      0.546327
       The_Taming_of_the_Shrew                      0.627757                      0.556063                      0.584016                      0.598959                      0.591973                      0.580487                      0.664333                      0.659407                      0.638111                      0.544940                      0.608951                      0.575569                      0.586521                      0.605693                      0.541933                      0.527177                      0.632299                      0.626377                      0.625424                      0.492221                      0.628333                      0.548676                      1.000000                      0.599735                      0.648549                      0.602284                      0.552014
                   The_Tempest                      0.682865                      0.732668                      0.631702                      0.657410                      0.645198                      0.723318                      0.753958                      0.732397                      0.796777                      0.593180                      0.682968                      0.644996                      0.755269                      0.653061                      0.564750                      0.646082                      0.814108                      0.707328                      0.688625                      0.540072                      0.788488                      0.593511                      0.599735                      1.000000                      0.711531                      0.671008                      0.596248
              The_Winters_Tale                      0.754962                      0.666607                      0.685862                      0.698313                      0.719630                      0.697869                      0.797858                      0.787344                      0.763755                      0.638234                      0.728702                      0.700911                      0.710797                      0.720266                      0.617435                      0.613238                      0.762733                      0.757776                      0.726831                      0.572130                      0.750586                      0.626319                      0.648549                      0.711531                      1.000000                      0.700026                      0.647681
              Titus_Andronicus                      0.672443                      0.618847                      0.623158                      0.677291                      0.663156                      0.639023                      0.747181                      0.725301                      0.723468                      0.612617                      0.669661                      0.634881                      0.665030                      0.640188                      0.561350                      0.563465                      0.731167                      0.708683                      0.687580                      0.529141                      0.684469                      0.564592                      0.602284                      0.671008                      0.700026                      1.000000                      0.573716
                 Twelfth_Night                      0.631991                      0.553790                      0.580080                      0.580709                      0.583761                      0.573790                      0.657769                      0.653762                      0.622563                      0.531981                      0.608473                      0.584589                      0.576622                      0.610535                      0.523410                      0.515569                      0.622774                      0.615134                      0.609232                      0.491449                      0.622226                      0.546327                      0.552014                      0.596248                      0.647681                      0.573716                      1.000000

In this table, higher values indicate more similarity. A value of 1 indicates that the plays are exactly similar.
